DateTime;ThreadId;Context;PacketId;Protocol;Direction;ClientIP;Xid;Type;Opcode;FlagsHex;FlagsChar;ResponseCode;QuestionType;QuestionName;Information;Details;ComputerName
2026-01-21 00:29:28;1080;Packet;000001AFBA4CC030;TCP;Rcv;10.10.0.11;0001;Query;Standard;0001;RecursionDesired;NOERROR;A;"berlin.de";"TCP question info at 000001AFBA4CC030";"";dc01
2026-01-21 00:32:09;17CC;Lookup;;;;;;;;;;;;"";"Writing A records for node www.powershellgallery.com. (000001923AD21580) to answer section of packet 000001923C0A88D0";"";dc01
2026-01-21 00:32:09;17CC;Packet;;;;;;Query;;;;;;"";"21.01.2026 00:32:09 0EDC LOOKUP  Query name (6)mobile(6)events(4)data(9)microsoft(3)com(0)";"";dc01
2026-01-21 00:32:09;17CC;Recurse;;;;;;;;;;;;"";"Recursing question from node www.powershellgallery.com. (query 000001923C0A88D0)";"";dc01
2026-01-21 00:48:53;17CC;Recurse;;;;;;;;;;;;"";"Cache locking prevented a record from being cached. Domain name: edge.microsoft.com. Record already in cache: type 5 Total cache time (seconds): 30 Cache time already passed (seconds): 0";"";dc01
2026-01-21 01:48:57;0758;DSPoll;;;;;;;;;;;;"";"Polling thread awake at 174012 seconds";"";dc01
2026-01-21 01:48:57;0758;DSPoll;;;;;;;;;;;;"";"Polling zonescope Default of zone .";"";dc01
2026-01-21 01:48:57;0758;DSPoll;;;;;;;;;;;;"";"Opening update search in zone . current USN  = 395725 zone USN     = 395724 poll filter  = (&(objectCategory=dnsNode)(uSNChanged>=395725))";"";dc01
2026-01-21 01:06:29;0EDC;Remote;;;;;;;;;;;;"";"Building NS list for node . (query 000001923CB37DD0)";"";dc01
2026-01-21 02:00:15;06D0;Tombstone;;;;;;;;;;;;"";"Checking the legacy partition for expired tombstones";"";dc01
2026-01-21 02:00:15;06D0;Tombstone;;;;;;;;;;;;"";"Deleted 0 expired tombstones from the legacy partition";"";dc01
2026-01-21 02:00:15;06D0;Tombstone;;;;;;;;;;;;"";"Checking directory partition DomainDnsZones.company.com for expired tombstones";"";dc01
